NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
2022,8,F,1,1,1,1,6,1,,0,,,,,,,,1600303,MacapÃ¡,16,AP,1,1,1,1,1087.0,1057.0,1068.0,1078.0,416.8,555.5,510.1,417.1,1,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,120.0,160.0,120.0,120.0,120.0,640.0,B,E,A,B,1,C,A,B,A,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,B
2022,3,M,1,1,1,2,0,3,1.0,0,5300108.0,BrasÃ­lia,53.0,DF,4.0,1.0,1.0,5300108,BrasÃ­lia,53,DF,1,1,1,1,1087.0,1057.0,1068.0,1078.0,565.8,531.0,585.0,763.1,0,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,120.0,180.0,120.0,120.0,160.0,700.0,E,G,D,D,4,J,A,D,E,D,A,C,E,C,B,B,A,B,D,A,B,E,A,C,B
2022,4,F,1,1,1,1,1,1,,0,,,,,,,,2905206,CaetitÃ©,29,BA,1,1,1,1,1087.0,1057.0,1068.0,1078.0,525.2,469.3,513.6,430.5,1,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,160.0,200.0,160.0,200.0,200.0,920.0,B,E,B,C,4,B,A,B,D,B,A,B,A,B,A,A,A,A,B,A,A,D,A,A,B
2022,3,F,1,1,1,2,0,2,1.0,0,4319505.0,SÃ£o SebastiÃ£o do CaÃ­,43.0,RS,2.0,1.0,1.0,4312401,Montenegro,43,RS,1,1,1,1,1087.0,1057.0,1068.0,1078.0,494.2,553.2,510.9,639.9,1,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,120.0,180.0,120.0,140.0,100.0,660.0,E,E,A,B,5,B,A,C,D,B,A,C,B,B,A,B,A,B,C,B,B,D,A,B,B
2022,1,M,1,1,1,3,0,1,,1,,,,,,,,3304557,Rio de Janeiro,33,RJ,1,1,1,1,1087.0,1057.0,1068.0,1078.0,574.1,557.0,563.9,624.8,0,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,80.0,140.0,120.0,120.0,120.0,580.0,F,G,E,E,4,O,D,D,D,C,B,B,A,B,A,B,A,B,E,A,B,E,B,E,B
2022,11,F,3,1,1,1,12,1,,0,,,,,,,,2401453,BaraÃºna,24,RN,1,1,1,1,1087.0,1057.0,1068.0,1078.0,539.1,582.1,578.7,639.8,1,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,120.0,200.0,140.0,160.0,200.0,820.0,D,E,A,A,2,B,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,B,A,A,A
2022,4,M,1,3,1,2,0,3,1.0,0,,,,,,,,2927408,Salvador,29,BA,1,1,1,1,1087.0,1057.0,1068.0,1078.0,546.1,577.0,542.1,591.5,0,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,120.0,120.0,120.0,140.0,120.0,620.0,E,F,F,B,3,D,A,B,B,A,A,B,A,A,A,B,A,A,B,A,A,C,A,A,B
2022,7,M,1,3,1,1,4,1,,0,,,,,,,,2307304,Juazeiro do Norte,23,CE,1,1,1,1,1087.0,1057.0,1068.0,1078.0,784.4,689.3,597.9,953.6,1,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,160.0,200.0,160.0,180.0,180.0,880.0,D,E,D,D,3,D,A,D,C,B,B,B,B,B,A,B,A,A,B,A,A,D,A,B,B
2022,2,M,1,3,2,2,0,2,1.0,0,1100114.0,Jaru,11.0,RO,1.0,1.0,1.0,1100114,Jaru,11,RO,1,1,1,1,1087.0,1057.0,1068.0,1078.0,448.3,488.3,528.1,452.1,1,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,4.0,0.0,0.0,0.0,0.0,0.0,0.0,E,E,B,B,4,E,A,B,C,A,C,B,A,B,B,A,A,A,B,A,A,E,A,B,B
2022,6,F,2,3,1,1,2,1,,0,,,,,,,,1600303,MacapÃ¡,16,AP,1,1,1,1,1087.0,1057.0,1068.0,1078.0,500.6,511.8,512.0,515.4,1,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,120.0,120.0,80.0,100.0,120.0,540.0,H,E,F,B,4,B,A,B,C,A,A,B,A,B,A,A,A,A,B,A,A,D,A,A,B
2022,6,F,1,1,1,1,3,1,,0,,,,,,,,3554102,TaubatÃ©,35,SP,1,1,1,1,1087.0,1057.0,1068.0,1078.0,513.0,560.9,574.9,691.3,0,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,140.0,200.0,200.0,200.0,200.0,940.0,E,E,D,D,1,B,A,B,B,A,A,B,B,A,A,A,A,A,B,A,A,B,A,B,A
2022,4,M,1,4,1,1,1,1,,0,,,,,,,,2906873,Capim Grosso,29,BA,1,1,1,1,1087.0,1057.0,1068.0,1078.0,450.1,396.5,419.7,517.0,1,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,140.0,160.0,100.0,120.0,80.0,600.0,B,E,C,B,4,D,A,B,C,B,A,B,A,A,A,A,A,B,B,B,B,E,A,B,B
