NU_INSCRICAO,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT
210054490518,CAEDCCAEDBAABBBAABDAAECDCACEBEBBBACBBABBBEBDA,EBBABBDCACECBDCDCBDDACABDEDDBCBDDDCABEECAAAEB,DDCDBAEBCACADECABDACDADBEDEACADADDBCEBCADECBD,BAEAACEBDACBBDDCAEADDEEDBBCECDBACCCABBDCAADCD
210054871641,EBBADDCBBABCAECDBEACDAB*CDBCDABDEACAABCEDBCAE,ABACEADDBCBDEEADECABAADBABDACEEDCBAEBDCADADCE,EABDACEAABEBDEAABDEDBECECDBCECCBDEDCEDBCDCAEA,CEAEACDBAECBADCBAEADBCCEBCAEDDBDCAEBAECBACBED
210057118756,,,,
210056009027,ADCCBDDEDBBACEEEADBBACDBDCCBDCBDA.BCABBAEAEBB,CBDCEAEDDCBCDBEDAAEBBDDDDEBACBAACBDBAEDDADEAB,BDECDCCCDCCEEACBEBCAECCEEABAECEDEBEAAEECDDEAB,BDAEDCEDECEDABBBABCCCDCDABCABAAABCBAEDAEAACBE
210055409228,CBBABDCCBAEECADCBCEEBEDBAADDEDAECBEDECDEDABCB,BCADCAAECBAACCBEDBABADDBADEEBBDDCEBCEDBCDCDCB,ECDBEEACADEBDBBCABEDAACCBDDAADDCBADBACECAACAA,BCECDCDEECECCBBDAEEDCBDCDEBBBECCDBBDAEDACC.C*
210056264862,BAEBBEDDABBBEBADDBDBBABEDBEEAACBACCCBABCDAEBD,BEDEACEAAAAEA........AEEAEDDDBBDBBAEAABCADCAB,AADEECCBDACCEBCCBAAAEEBABEEAAACEAEEADCBECCBAD,DEADEACBACADCEBECCBCAECADDAAADABBBEACDBEAACBE
210056857887,EADCABBDACBBBCEDBDCABABDCDBEAEAEDAAAECDAAABDB,ECCEBEDEBAEBABECBDDEDDACCADDBBDCCCEABDEADBADD,ABCAAEEBCACADEAAADADACEBBAAACDBABDBCCBAEDCCBA,BCEDACCBDBBEBBEDCEECBAEABCACCDACBEACEEACABDDC
210055978798,DBDABDCECBACEADEDBCABCCACDCEACBEBDBBDCDEDADBE,CCABCDDEDCAEDBDACAEBCCDAABDBCDADCECEBEDACBBCE,DCBCEABDADEBCDBAECCEBAEECABBDCAEDDBDAEDCBEDCE,BCBCEBABEDECBCEDADDADCDBCDEDBEABDCDAABCDECADE
210055950170,CDBDCCCEAEEEBDECCBCAABBBBCCACCAAEBBCEADBBBDCD,DDDAAADBAEDAEDDBECACEBAECEBCEDBABDCEEBBEBADCC,BAAEADAADDACDCDEDDAAEEEBDACABEBCEACEBBCACCDEC,BBEBBDEEACBBBEEADCADADDAADECDECCECAAEDDAEBDEC
210056627706,ADDDACACDEBACCBECBEAADCAEEADBABDDDACAECDAEACA,EBEABBDDCCDEBABBCBDEBADCABBDABBADADABDECEAAEB,ECDBEDDBCAEEDEDADEBCCAABADDEEEEABDECEBEBCECEC,BBBAACBADCCDEABCBDBABCCEACABCEBEABCEABDBDCAEC
210054978521,DDCBECEEEAECCEDEDBACEBDCCCBABDBCCDDCEBAADBACB,EDDEAAEEDEBACEEADCABDBACEEDCBEDADACAEBDABADCA,ACEEACAADDEDBEEBABACEDEADEDAADECAACCDDECBACCB,ECCADDEAADBABEABECCEADDEEAAECEEBACEECBCEDDEAE
210054622091,EBECBEBAABCDDABDEAECCCAACDBBDECEBCDBDEDDCEBDE,CEEBCDAAEEBDCBEEDAEBACCBAAEDCBCDDACCDDBCDCECD,EBCAEDAEADABDDEBBCCABECECCBBAABEDDBCADACBDBDE,CAAACADEAEACDBEBDDBEADECDBCCBADEECDEBBDCEBBDA
210057638827,BCCAEDBEAEDBCBBAACADEABEAEDCDDCCBADCDAABDBDDC,BBDAAAEEAEBADCAABBAAAAABACDAEABBCDDDCCABBBEBB,BEEECDADAEADEBBAAEAEEAEECBEAADEEACCAEBBBDAEAD,DCAEEAEABCBBABEADDECBBABBCEABDBABCEEBAAECDEEE
210055218680,ADDCCCBCCABCBBABCEECBDEDCBEBAACBAEBDBCECBEAAA,ECADBACBCCACACAADAACACACBCAAADDDBCBAACEBAADCC,DBEBBABDCACCDEEBEDBCABEBDEBABADABCBAACDBECEEB,BCEAACAAACC*DCDEAACAAABC*ECDCADEBACEBCDBDCDEA
210056250346,BCAABECDCBABABCBDCACEDADDACDBCBEAEABAABCEECAB,EDDCBACDDCDABCADCAACCBCADEBEDEDBDABCCDACDEBCA,BBACADCBBDEAAEEBDDEEBBDAEDEEDCAACCEDE*BBDBAAD,DAECEBECCCBCEBDCCBADAEBADBCCDDADBCADCBBAEECAB
210056752759,ECCEAAECDCBCBEBCEBEEAEDEBDCCACABCDBCAADCCC.DB,CBDCECBEDBDDECBDDAEEAECAADBBDBBEBBDEACADACEAC,DACCEBCDDACABACEBAEBEBEECACEECDCACBEAEBCDBEAE,CDABACDCAECBEAEDECDEEDBABEBCEDDECDEADDAEAABDB
210057346412,,,,
210056574033,EDBCBECBDABDAECBBDEBAADAECCECCBBACCDBDDAABDEB,BDABEEDAEEBBDABAABAEABDCADEDEADBDBDCEBDBABCAB,BBAEDEEDAABDADEACEBDBACBBAADCADABABCBAABABEDA,CADEBCEEDDEDBADCBEEEEBDBACACCCCEABCADBDDBBEBC
210057678810,CDECAECDCACAAABDBDCBECDEBDDBBBCADBDCDADACADDE,CDCBECCBECBDCEEBBCABDBACEBDCEDDABDDBBEBCBDACB,ACDEDABDCACEBCCADCADEACCECDBABCEDBCABBADDDCCB,ABDEACBDAEACAABEABCACDBEDDBAAABDBABCCAAAECECB
210055961350,BAECCDBAACCDBDAEEBAEBCAEBDBEDDDEBDDEDBCDACCCA,BAACCBDBBDADEBBDDBDBCDAEAEEECEABBCEAEBCABEADA,EDCAACCCACAEBDABDCECBAEECBBBCDDAADBCDDADBDECD,AEBDDBDEBBADCBDAADCDCACAEDDDDAADAABABBEDAEDAA
210055809671,,,,
210056351501,ABACDCADBEAABDBEACCCABEBEEADADBDEDBCBDDEAABCB,ECBBBACDADECBCBBCEDBBCACDEEDBDBEDDEABBBDAADEB,DECDBADBCACACCAAADECACECBBBEBADABDBCCCABEECBB,BEECACABDCCEADAAAABDCEBBBACBCADABEBCDCCACBECD
210056823124,ABEDABADCCAEACDEACDCBEDDEDAABECECAACAADEBEDAB,EBBCBBDDDCECBAABCBEDACACCEDAABBCAAEABEEDAAAEB,DDCDBDDDCABADCEAADACAAEABDBAADEAADECCCABCEDBB,BEECACADCDCDEACDAAAAEADEBECCDBACECDCCECDBEEAD
