NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
210056433706;2022;3;F;1;2;1;1;1;1;;0;;;;;;;;3304557;Rio de Janeiro;33;RJ;1;1;1;1;1085;1057;1068;1075;595.9;623.9;591.7;638.9;ACCBEADEACDAEEECCACDECDDCBEBDBEACDDBADCCCDCEE;ABECDBDCDEAADCBDAAABCCDDBEABEBECCAEBACEDAAEAC;BDECDCCDDCDBBACDDEAAEECABACEADCBAACBAEBEBDBAB;CDCBEDAABEABBDCBABCECAECBDCABACABDBABAAEAACBB;0;ADBADABEABCEEEACCBDDADDCBBCCAEBAEBEBEACCCDDDE;CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB;BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA;ECDABEBDCEECDBDCCCCBCXCBAACDBAAACEBABDDEDAEBE;1;200;200;200;200;160;960;E;C;C;F;5;D;A;B;C;B;A;B;B;B;A;A;A;A;C;A;A;E;A;C;B
210055669292;2022;2;F;1;1;1;2;0;2;1;0;3116605;Cláudio;31;MG;2;1;1;3116605;Cláudio;31;MG;1;1;1;1;1087;1056;1066;1078;400.3;412.2;508.4;495.6;AADDCCADDAECDCEEADEECCCBDECDBBAABAECBDDCBEBCE;EDECCAEEDDDBBBBDAEDDAACDBABCADCCCECECCEDDBADC;CCEEAADBCACAEECEADBDBEEADEAAEAAAEDBABEABCECEA;CEBBCCCEDBCCEBDCCDCDCAEACBCECDAEBDBCCDDACCDCC;1;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;1;140;120;100;100;160;620;A;B;A;B;5;B;A;B;B;A;A;B;B;A;A;A;A;A;B;A;A;B;A;A;A
210056409870;2022;3;F;1;3;1;2;0;2;1;0;3550308;São Paulo;35;SP;2;1;1;3550308;São Paulo;35;SP;1;1;1;1;1087;1056;1066;1078;440.9;564.1;500;421.2;EDDCCDBCEDBAAECEDDCEADCBDCAEBCBDDECEBBCABECBA;EABABADEDABCBDCCCEABACDCACEDEEACDCEACABDAEADC;DEDBDEBDCDCAEACEBDBABCEADCAAEEEABDECBDABCEDCB;BBBAEDAECBCDCBCACCDBECEEEBCEDDABCCCBAEDAABEDB;0;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;1;120;120;120;120;80;560;D;E;B;F;5;B;A;B;C;A;A;B;B;A;A;A;A;A;B;B;A;E;A;B;B
210058003567;2022;5;F;3;3;1;2;0;2;;0;3303955;Pinheiral;33;RJ;2;1;1;3306305;Volta Redonda;33;RJ;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;B;C;C;C;4;A;A;B;D;B;A;B;B;B;B;B;A;B;B;A;A;D;A;B;B
210057553939;2022;2;F;1;1;1;2;0;3;1;0;5002704;Campo Grande;50;MS;4;1;1;5002704;Campo Grande;50;MS;1;1;1;1;1088;1058;1067;1077;651.7;668.7;663.6;807.6;CEEBBCCEDAADCCABCAABEDBBEBACBAECCACCDACCEADCD;CBCAAADBACCBADBDAEABCBECACEDADEAEBDDEBBABEACD;CDBEDCAABDBDDDDCABEEECEAEACABEEBCACBDCBCDABCC;CECCBDCEACBCBEABDDBBBEADDACADCEBCCEDABADAEDAE;0;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;1;180;200;160;200;200;940;F;F;E;D;3;J;B;D;D;C;A;B;A;B;A;B;B;B;C;A;B;D;A;B;B
210056968046;2022;8;M;1;1;1;1;5;1;;0;;;;;;;;3552809;Taboão da Serra;35;SP;1;1;1;1;1086;1055;1065;1076;521.6;646.4;644.7;743.4;DBDCCECBCACDDDCCACBCCEABABCBACBCBCDCDDBDDACDD;DEABAADADDADECBECBABBDDAAADBEECADADDBBDDABECE;DCBDEEAAACEBBDBCBCCCBAEECCBDDEAAEDCCADADBDCAE;DBBAACBBECACBCBBCEDDCBACBBCCBCAADDCCBDBDEBBAC;0;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;1;160;200;160;160;140;820;G;G;E;D;5;Q;A;D;E;C;A;C;C;B;B;B;B;B;D;B;B;E;A;E;B
210056682780;2022;3;F;1;3;1;2;0;2;1;0;3550308;São Paulo;35;SP;2;1;1;3550308;São Paulo;35;SP;1;1;1;1;1088;1058;1067;1077;602.3;631.7;624;660;BDDBCCCCDAABBBBCEBACBAEBDBACBEAACBDBDBEBDBBCD;CEBAAADDAECBCDDBAEABBBBEDCEDADCCBBCAEBAEBAACD;CDBEDCACBDBDBDDCABAECAEAAAADBEEABACBAAACDECAC;CEECBAECBBADBDEDDBAEBEADEAEEACEBCACBBEBCAEBAC;0;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;1;100;200;140;180;180;800;E;G;D;D;4;K;A;B;C;B;A;B;B;B;A;B;A;A;D;A;A;E;A;B;B
210056644329;2022;2;F;1;1;1;2;0;3;1;0;3106200;Belo Horizonte;31;MG;4;1;1;3106200;Belo Horizonte;31;MG;1;1;1;1;1085;1057;1068;1075;513.1;637.1;651.7;704.8;ADEDBEBACCBBDEADECBEBBDDDCEBCBCDAEBCAABDCCDDE;BBBCABBDDAACDAECAAADBCCDDEAEBBAEBBECBEEDADCAB;AADAECCCDACBBECBBAAAEECABAEEACEBECDEADDDBCBAC;BCDBEAEDEEDBCEECDBCEBAEBCDCAABAABEBAEDBEDACBE;1;ADBADABEABCEEEACCBDDADDCBBCCAEBAEBEBEACCCDDDE;CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB;BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA;ECDABEBDCEECDBDCCCCBCXCBAACDBAAACEBABDDEDAEBE;1;160;200;160;200;200;920;F;E;D;B;3;G;A;B;C;B;A;B;A;B;A;B;A;B;B;B;A;D;B;C;B
210057152360;2022;1;F;1;3;1;3;0;1;;1;;;;;;;;3152105;Ponte Nova;31;MG;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;H;C;B;B;4;C;A;B;D;B;A;B;B;B;A;A;A;A;B;A;A;D;A;B;B
210057708643;2022;8;F;1;3;1;1;4;1;;0;;;;;;;;2929206;São Francisco do Conde;29;BA;1;1;1;1;1085;1057;1068;1075;405.7;332.9;517.3;441.8;DCABCEACDDADEAEEBADECDAACECCBECDDEEAABCDEAADA;EDCDEBBCE.BBBDAABC.CEECBABBCCEEDAACECCEAAB*DC;ABCCECCBDCCBACDCBCDABEAEDACBECEABABACDBDDDECE;AEDBBDCCEEBACBEABCDECABCCEBCAAAAECBCEBADCCADD;1;ADBADABEABCEEEACCBDDADDCBBCCAEBAEBEBEACCCDDDE;CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB;BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA;ECDABEBDCEECDBDCCCCBCXCBAACDBAAACEBABDDEDAEBE;1;100;120;100;120;80;520;E;E;C;B;5;A;A;B;C;A;A;B;A;A;A;B;A;A;B;A;A;C;A;A;B
